id,listing_url,name,space,host_name,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_since,street,city,state,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,price,number_of_reviews
12147973,https://www.airbnb.com/rooms/12147973,Sunny Bungalow in the City,The house has an open and cozy feel at the same time.  The living room has a flat screen TV.  The kitchen has all you need for cooking.  We prefer you buy your food but can use the organic oils herbs etc.   The yard can be seen from sitting room and when the weather allows the yard is a place children can lose themselves in a safe way.  We have 2 bee hives 6 hens fenced in (sometimes they get out of their coop area & into the yard) 2 rabbits in a hutch and play structure.,Virginia,Boston Massachusetts United States,N/A,N/A,N/A,false,2015-04-15,Birch Street Boston MA 02131 United States,Boston,MA,2131,House,Entire home/apt,4,1.5,2,25000,0
3075044,https://www.airbnb.com/rooms/3075044,Charming room in pet friendly apt,Small but cozy and quite room with a full size bed. Ample street parking.,Andrea,Boston Massachusetts United States,within an hour,100%,100%,false,2012-06-07,Pinehurst Street Boston MA 02131 United States,Boston,MA,2131,Apartment,Private room,2,1.0,1,6500,36
6976,https://www.airbnb.com/rooms/6976,Mexican Folk Art Haven in Boston,"Come stay with a friendly middle-aged guy in the safe and quiet Roslindale neighborhood of Boston. You will have you own clean furnished room (with cable TV Wi-Fi and a desk to work at) in an apartment that is filled with Mexican folk art. This is a well-maintained two-family house built in the 1940s. My apartment is on the second floor. This is a pet and smoke-free apartment.   PRICE: Price includes ALL utilities (heat electricity Wi-Fi cable TV air conditioner) parking in street and use of back yard. NO SMOKING indoors or outside. Note that the bed is a size \"Full\" mattress not a Queen or a King. This is ideal for one guest but if it is two people traveling together you can fit two in the bed or the second person can sleep in the living room on the long couch. (Not a fold-out couch but comfortable). Additional fee for the second person is $20. The price listed is for one person.  I offer discounted rates for stays of one week or longer.   Guests get free coffee and a",Phil,Boston Massachusetts United States,within a few hours,100%,88%,true,2009-05-11,Ardale St. Boston MA 02131 United States,Boston,MA,2131,Apartment,Private room,2,1.0,1,6500,41
1436513,https://www.airbnb.com/rooms/1436513,Spacious Sunny Bedroom Suite in Historic Home,Most places you find in Boston are small however our bedroom suite is large. The bedroom has plush down pillows and a down comforter. The mattress is fitted with a memory foam topper that gives each guest the best sleep. The leather couches are cozy.  The large leather couch can be converted to a bed. The television has been updated to a smart tv therefore you can access most tv programs through there including HBO Showtime and Cinemax. If you want to enjoy cable television there is a tv in the kitchen. The kitchen has a gas burner dishwasher garbage disposal music system and a space in the fridge to keep your items.,Meghna,Boston Massachusetts United States,within a few hours,100%,50%,false,2013-04-21,Boston MA United States,Boston,MA,,House,Private room,4,1.0,1,7500,1
7651065,https://www.airbnb.com/rooms/7651065,Come Home to Boston,Clean attractive private room one block from the bus line on a quiet safe street. Two comfy single beds. Full bath and one half bath shared with 1-2 others. Kitchen privileges and breakfast included. Air Conditioned. Five minute walk to shops.,Linda,Boston Massachusetts United States,within an hour,100%,100%,true,2014-05-11,Durnell Avenue Boston MA 02131 United States,Boston,MA,2131,House,Private room,2,1.5,1,7900,29
12386020,https://www.airbnb.com/rooms/12386020,Private Bedroom + Great Coffee,Our sunny condo is located on the second and third floors of a 2-family home. Our guest bedroom and private bath are on the first floor of our unit. In addition to the guest quarters we have a large airy living room that you're welcome to relax in and a three-season porch off the back. I feel fortunate to have a home that's the best of both worlds: convenient to the city but peaceful with conservation land behind us and the Arnold Arboretum just down the street.  In addition to our small family we have two cats (one of whom guests will never see).,Deborah,Boston Massachusetts United States,within a few hours,100%,95%,true,2016-03-23,Walter Street Boston MA 02131 United States,Boston,MA,2131,Condominium,Private room,2,1.0,1,7500,8
5706985,https://www.airbnb.com/rooms/5706985,New Lrg Studio apt 15 min to Boston,The whole house was recently redone and it 's only a 5 minute walk into Rosi Square- the new hip area of Boston - with the train into downtown Boston  (15 minute train ride)  several good restaurants grocery bakery etc. Free wifi and off street parking. This studio is in the basement and has a private separate entrance under the back deck.  The ceilings are a bit over 8 feet tall and the windows are located just below the ceiling. The kitchen does NOT have an oven. It only has a small fridge microwave fancy toaster oven and coffee pot.  I may be in residence upstairs in the rest of the house but I travel frequently/ or from time to time the main house also may be a separate Airbnb rental. As such you may hear footsteps above you. In addition the water heater for the house is located in the utility area of this level as is a separate furnace for this studio so you can control your own temperature.,Juliet,Milton Massachusetts United States,within an hour,98%,96%,false,2013-05-25,Kittredge Street Boston MA 02131 United States,Boston,MA,2131,Apartment,Entire home/apt,3,1.0,1,10000,57
2843445,https://www.airbnb.com/rooms/2843445,"\"Tranquility\" on \"Top of the Hill\"","We provide a bedroom and full shared bath.  Rates are dropped by 10% for the winter months.  See below!  From the front of the house you have a panoramic view of Boston and from the back deck you have a private space overlooking our spacious back yard and the greenery of the neighborhood.  We provide the towels and the linens.   (For the summer months we have air conditioning in the bedrooms)  Our home is impeccably clean.  We vacuum dust and clean everywhere before and after our guests arrive and depart.  Rate explanation - $70/night for the first guest $85/night for an additional guest in the same room.  Use of another room is an additional $70/night for the second room.  See our listing at Sub\"Urban\" Vacationing Rm. 2.  We will respond to your inquiry withing 6-8 hrs or sooner so please be a little patient while waiting.  In order to best accommodate our guests we ask that requests/inquiries be made at least 48 hours in advance.  This is because we care about you and we want to",Marilyn,Boston Massachusetts United States,within a few hours,100%,100%,true,2012-08-05,Cornell Street Boston MA 02131 United States,Boston,MA,2131,House,Private room,2,2.0,1,7500,67
753446,https://www.airbnb.com/rooms/753446,6 miles away from downtown Boston!,Nice and cozy apartment about 6 miles away to downtown Boston and only about 30 minutes via public transportation with plenty of street parking. It is a 5 minute walk from Rolsindale Village where you can find public transportation a Supermarket a Bakery and a ton of great bars and restaurants. It is also 1 mile from Forest Hills Station:  Bus/Subway/Train. It is conveniently located with a small town atmosphere and just minutes to the city.  The bedroom is about 8 x 8 with a bunk bed for 2 guests including a dresser closet and a small desk. No TV. Shared bathroom. Amenities include: Free WIFI internet. Fresh towels. Pets: 1 cat.,Sami,Boston Massachusetts United States,within an hour,100%,100%,true,2012-10-24,Sycamore St Roslindale MA 02131 United States,Roslindale,MA,2131,Condominium,Private room,2,1.0,1,5800,65
849408,https://www.airbnb.com/rooms/849408,Perfect & Practical Boston Rental,Perfect apartment rental for those in town visiting family and friends or for people who just need the temporary extra space.  Very comfortable cozy and convenient.   * Open and airy with lots of windows and light  * Large living room and dining room  * Gumwood architectural period detail and character  * Kitchen w/gas stove and breakfast bar and all the appliances you need * Refinished hardwood oak floors throughout  * Shared porch (couch grill bistro table tv) and backyard with patio (dining table and lounge furniture) * Laundry in unit * Driveway parking (negotiable) for 3 vehicles and plenty on street parking (no permits required) * 7-8 min walk to Needham line commuter rail. Short bus ride to Forrest Hills T (orange line).  * On a major bus line * 10-15 minute drive to Fenway/downtown * Wireless internet and cable included * Smoke free Note: This unit is 5-6 miles outside of downtown so please take location into consideration before you book.  Shops market and restaurants a,Damon,Boston Massachusetts United States,within an hour,100%,100%,true,2012-12-18,Centre Street Boston MA 02131 United States,Boston,MA,2131,Apartment,Entire home/apt,5,1.0,2,22900,33
5434353,https://www.airbnb.com/rooms/5434353,Quiet  Beauty in Boston,Large living and dining area. Sprawling space. Grand piano.,Anthony,Boston Massachusetts United States,within a day,75%,100%,false,2013-10-27,Tyndale Street Boston MA 02131 United States,Boston,MA,2131,House,Entire home/apt,2,1.5,2,14500,7
225979,https://www.airbnb.com/rooms/225979,Cozy Room & Fresh Roasted Coffee,This is a charming bright and sunny apartment with views of the Boston skyline and is absolutely a comfortable professional and safe place for both men and women. You will awake each morning to the smell of fresh brewed coffee - roasted here by me from exotic green beans. Pair this with some fresh baked artisan bread that I typically have on hand. If you love coffee and fresh home made bread it doesn't get any better then this. If you are interested I might give you a lesson or two on how to roast your own coffee. In addition to fresh baked bread toasted with jam additional breakfast offerings may include cereal bagels with cream cheese or on occassion a Colombian breakfast of arepa egg and cheese. It's delicioso and high protein breakfast a great way to start the day. Roslindale Village is a 6 minute walk away and is a lively and charming village square that has many fine restaurants coffee shops market specialty shops and farmer's market on Saturdays from June throug,Duane,Boston Massachusetts United States,within an hour,100%,79%,false,2011-09-18,Augustus Ave Boston MA 02131 United States,Boston,MA,2131,Apartment,Private room,1,0.0,1,6000,70
3420384,https://www.airbnb.com/rooms/3420384,Convient Safe and Comfortable,Extra large studio with wifi cable original Fenway Park seats patio grill hot tub laundry Charlie Cards complimentary pass for 4 to the Museum of Fine Arts.,Cynthia,Boston Massachusetts United States,within a few hours,100%,100%,false,2011-03-09,Doncaster Street Boston MA 02131 United States,Boston,MA,2131,House,Private room,4,1.0,1,16500,1
